,Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,DOI,Is Open Access,Lang,Category
153,033-040-950-973-409,A Learning Framework for Medical Image-Based Intelligent Diagnosis from Imbalanced Datasets.,2021,journal article,Studies in health technology and informatics,IOS Press,Netherlands,Tetiana Biloborodova; Inna Skarga-Bandurova; Mark Koverha; Illia Skarha-Bandurov; Yelyzaveta Yevsieieva,"Medical image classification and diagnosis based on machine learning has made significant achievements and gradually penetrated the healthcare industry. However, medical data characteristics such as relatively small datasets for rare diseases or imbalance in class distribution for rare conditions significantly restrains their adoption and reuse. Imbalanced datasets lead to difficulties in learning and obtaining accurate predictive models. This paper follows the FAIR paradigm and proposes a technique for the alignment of class distribution, which enables improving image classification performance in imbalanced data and ensuring data reuse. The experiments on the acne disease dataset support that the proposed framework outperforms the baselines and enable to achieve up to 5% improvement in image classification.",Machine learning; Artificial intelligence; Reuse; Data reuse; Image based; Healthcare industry; Imbalanced data; Class (biology); Computer science; Contextual image classification; Class (philosophy); Image (mathematics); Data mining; Pattern recognition (psychology); Engineering; Waste management,Medical image classification; imbalanced data; machine learning oversampling,Diagnostic Imaging; Machine Learning,10.3233/shti210801,True,en,Overview and Adoption of FAIR Principles
166,035-200-796-057-420,Distributed learning on 20 000+ lung cancer patients - The Personal Health Train.,2020,journal article,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Elsevier Ireland Ltd,Netherlands,Timo M. Deist; Frank J. W. M. Dankers; Priyanka Ojha; M. Scott Marshall; Tomas Janssen; Corinne Faivre-Finn; Carlotta Masciocchi; Vincenzo Valentini; Jiazhou Wang; Jiayan Chen; Zhen Zhang; Emiliano Spezi; M. Button; Joost J. Nuyttens; René M. Vernhout; Johan van Soest; Arthur Jochems; René Monshouwer; Johan Bussink; Gareth J Price; Philippe Lambin; Andre Dekker,"Background and purpose Access to healthcare data is indispensable for scientific progress and innovation. Sharing healthcare data is time-consuming and notoriously difficult due to privacy and regulatory concerns. The Personal Health Train (PHT) provides a privacy-by-design infrastructure connecting FAIR (Findable, Accessible, Interoperable, Reusable) data sources and allows distributed data analysis and machine learning. Patient data never leaves a healthcare institute. Materials and methods Lung cancer patient-specific databases (tumor staging and post-treatment survival information) of oncology departments were translated according to a FAIR data model and stored locally in a graph database. Software was installed locally to enable deployment of distributed machine learning algorithms via a central server. Algorithms (MATLAB, code and documentation publicly available) are patient privacy-preserving as only summary statistics and regression coefficients are exchanged with the central server. A logistic regression model to predict post-treatment two-year survival was trained and evaluated by receiver operating characteristic curves (ROC), root mean square prediction error (RMSE) and calibration plots. Results In 4 months, we connected databases with 23 203 patient cases across 8 healthcare institutes in 5 countries (Amsterdam, Cardiff, Maastricht, Manchester, Nijmegen, Rome, Rotterdam, Shanghai) using the PHT. Summary statistics were computed across databases. A distributed logistic regression model predicting post-treatment two-year survival was trained on 14 810 patients treated between 1978 and 2011 and validated on 8 393 patients treated between 2012 and 2015. Conclusion The PHT infrastructure demonstrably overcomes patient privacy barriers to healthcare data sharing and enables fast data analyses across multiple institutes from different countries with different regulatory regimens. This infrastructure promotes global evidence-based medicine while prioritizing patient privacy.",Software deployment; Logistic regression; Health care; Graph database; Interoperability; Data science; Computer science; Documentation; Big data; Data model,Big data; Distributed learning; FAIR data; Federated learning; Lung cancer; Machine learning; Prediction modeling; Survival analysis,Algorithms; China; Humans; Lung Neoplasms; Machine Learning; Privacy,10.1016/j.radonc.2019.11.019,True,en,Infrastructure and Tools
169,035-524-672-872-432,Road to FAIR genomes: a gap analysis of NGS data generation and sharing in the Netherlands.,2022,journal article,BMJ open science,Portico,England,Jeroen A M Belien; Anke E Kip; Morris A Swertz,"<AbstractText Label=""Objective"" NlmCategory=""UNASSIGNED"">This study investigates current standards and operational gaps in the management and sharing of next generation sequencing (NGS) data within the healthcare and research setting and according to Findable, Accessible, Interoperable and Reusable (FAIR) principles.</AbstractText>;           <AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">The analysis was performed as the basis from which to bridge identified gaps and develop widely accepted working standards that ensure optimal reusability of genomic data in healthcare and research settings in the Netherlands. This work is part of the 'Rational Pharmacotherapy Program' led by ZonMw, The Netherlands Organisation for Health Research and Development, which aims to promote the efficient implementation of NGS and personalised medicine within Dutch healthcare, with an initial focus on oncology and rare diseases.</AbstractText>;           <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">Based on this analysis and as part of this programme, a consortium was formed to develop an instruction manual for FAIR genomic data in clinical care and research based on an inventory of commonly used workflows and standards in the (inter)national field of genome analysis.</AbstractText>;           <AbstractText Label=""Conclusions"" NlmCategory=""UNASSIGNED"">The gap analysis presented and discussed in this paper represents the starting point for this inventory and is a possible contribution from the Netherlands to the European 1+ Million Genomes Initiative. This paper addresses the topics of data generation, data quality, (meta)data standards, data storage and archiving and data integration and exchange.</AbstractText>;           <CopyrightInformation>© Author(s) (or their employer(s)) 2022. Re-use permitted under CC BY. Published by BMJ.</CopyrightInformation>",Interoperability; Workflow; Computer science; Data sharing; Data science; Health care; Data management; Best practice; Data exchange; World Wide Web; Data mining; Medicine; Political science; Database; Alternative medicine; Pathology; Law,informatics; translational medical research,,10.1136/bmjos-2021-100268,True,en,Overview and Adoption of FAIR Principles
187,039-075-851-664-49X,FAIR Machine Learning Model Pipeline Implementation of COVID-19 Data,2022,journal article,Data Intelligence,MIT Press,,Sakinat Folorunso; Ezekiel Ogundepo; Mariam Basajja; Joseph Awotunde; Abdullahi Kawu; Francisca Oladipo; Abdullahi Ibrahim,"<jats:title>Abstract</jats:title>;                <jats:p>Research and development are gradually becoming data-driven and the implementation of the FAIR Guidelines (that data should be Findable, Accessible, Interoperable, and Reusable) for scientific data administration and stewardship has the potential to remarkably enhance the framework for the reuse of research data. In this way, FAIR is aiding digital transformation. The ‘FAIRification’ of data increases the interoperability and (re)usability of data, so that new and robust analytical tools, such as machine learning (ML) models, can access the data to deduce meaningful insights, extract actionable information, and identify hidden patterns. This article aims to build a FAIR ML model pipeline using the generic FAIRification workflow to make the whole ML analytics process FAIR. Accordingly, FAIR input data was modelled using a FAIR ML model. The output data from the FAIR ML model was also made FAIR. For this, a hybrid hierarchical k-means (HHK) clustering ML algorithm was applied to group the data into homogeneous subgroups and ascertain the underlying structure of the data using a Nigerian-based FAIR dataset that contains data on economic factors, healthcare facilities, and coronavirus occurrences in all the 36 states of Nigeria. The model showed that research data and the ML pipeline can be FAIRified, shared, and reused by following the proposed FAIRification workflow and implementing technical architecture.</jats:p>",Workflow; Interoperability; Computer science; Pipeline (software); Usability; Analytics; Data model (GIS); Data mining; Data transformation; Data modeling; Database; Reuse; Data science; Artificial intelligence; World Wide Web; Engineering; Data warehouse; Human–computer interaction; Programming language; Waste management,,,10.1162/dint_a_00182,True,en,FAIRification of data
237,048-710-037-813-880,Clinical Research Informatics: Contributions from 2016.,2017,journal article,Yearbook of medical informatics,Georg Thieme Verlag KG,Germany,C. Daniel; R. Choquet,"Objectives: To summarize key contributions to current research in the field of Clinical Research Informatics (CRI) and to select the best papers published in 2016. Methods: A bibliographic search using a combination of MeSH and free terms on CRI was performed using PubMed, followed by a double-blind review in order to select a list of candidate best papers to be then peer-reviewed by external reviewers. A consensus meeting between the two section editors and the editorial team was organized to finally conclude on the selection of best papers. Results: Among the 452 papers published in 2016 in the various areas of CRI and returned by the query, the full review process selected four best papers. The authors of the first paper utilized a comprehensive representation of the patient medical record and semi-automatically labeled training sets to create phenotype models via a machine learning process. The second selected paper describes an open source tool chain securely connecting ResearchKit compatible applications (Apps) to the widely-used clinical research infrastructure Informatics for Integrating Biology and the Bedside (i2b2). The third selected paper describes the FAIR Guiding Principles for scientific data management and stewardship. The fourth selected paper focuses on the evaluation of the risk of privacy breaches in releasing genomics datasets. Conclusions: A major trend in the 2016 publications is the variety of research on “real-world data” – healthcare-generated data, person health data, and patient-reported outcomes - highlighting the opportunities provided by new machine learning techniques as well as new potential risks of privacy breaches.",Variety (cybernetics); Data management; Informatics; Data science; Guiding Principles; Stewardship; Field (computer science); Process (engineering); Data integration,,Biomedical Research; Clinical Trials as Topic; Confidentiality; Humans; Medical Informatics; Observational Studies as Topic,10.15265/iy-2017-024,True,en,Overview and Adoption of FAIR Principles
243,050-758-119-664-975,Recommendations for Improving the Quality of Rare Disease Registries.,2018,journal article,International journal of environmental research and public health,MDPI AG,Switzerland,Yllka Kodra; Jérôme Weinbach; Manuel Posada-de-la-Paz; Alessio Coi; S Lydie Lemonnier; David van Enckevort; Marco Roos; Annika Jacobsen; Ronald Cornet; S Faisal Ahmed; Virginie Bros-Facer; Veronica Popa; Marieke Van Meel; Daniel Renault; Rainald von Gizycki; Michele Santoro; Paul Landais; Paola Torreri; Claudio Carta; Deborah Mascalzoni; Sabina Gainotti; Estrella Lopez; Anna Ambrosini; Heimo Müller; Robert Reis; Fabrizio Bianchi; Yaffa R. Rubinstein; Hanns Lochmüller; Domenica Taruscio,"Rare diseases (RD) patient registries are powerful instruments that help develop clinical research, facilitate the planning of appropriate clinical trials, improve patient care, and support healthcare management. They constitute a key information system that supports the activities of European Reference Networks (ERNs) on rare diseases. A rapid proliferation of RD registries has occurred during the last years and there is a need to develop guidance for the minimum requirements, recommendations and standards necessary to maintain a high-quality registry. In response to these heterogeneities, in the framework of RD-Connect, a European platform connecting databases, registries, biobanks and clinical bioinformatics for rare disease research, we report on a list of recommendations, developed by a group of experts, including members of patient organizations, to be used as a framework for improving the quality of RD registries. This list includes aspects of governance, Findable, Accessible, Interoperable and Reusable (FAIR) data and information, infrastructure, documentation, training, and quality audit. The list is intended to be used by established as well as new RD registries. Further work includes the development of a toolkit to enable continuous assessment and improvement of their organizational and data quality.",Biobank; Health administration; Quality audit; Business; Health care; Information system; Data quality; Documentation; Knowledge management; Continuous assessment,patient registry; quality; rare diseases,Biomedical Research; Computational Biology; Data Accuracy; Europe; Humans; Information Storage and Retrieval/standards; Quality Improvement; Rare Diseases; Registries/standards,10.3390/ijerph15081644,True,en,Overview and Adoption of FAIR Principles
326,073-812-278-254-788,Applying the FAIR principles to data in a hospital: challenges and opportunities in a pandemic.,2022,journal article,Journal of biomedical semantics,Springer Science and Business Media LLC,United Kingdom,Núria Queralt-Rosinach; Rajaram Kaliyaperumal; César H Bernabé; Qinqin Long; Simone A Joosten; Henk Jan van der Wijk; Erik L A Flikkenschild; Kees Burger; Annika Jacobsen; Barend Mons; Marco Roos; null null; null null,"<AbstractText Label=""BACKGROUND"">The COVID-19 pandemic has challenged healthcare systems and research worldwide. Data is collected all over the world and needs to be integrated and made available to other researchers quickly. However, the various heterogeneous information systems that are used in hospitals can result in fragmentation of health data over multiple data 'silos' that are not interoperable for analysis. Consequently, clinical observations in hospitalised patients are not prepared to be reused efficiently and timely. There is a need to adapt the research data management in hospitals to make COVID-19 observational patient data machine actionable, i.e. more Findable, Accessible, Interoperable and Reusable (FAIR) for humans and machines. We therefore applied the FAIR principles in the hospital to make patient data more FAIR.</AbstractText>;           <AbstractText Label=""RESULTS"">In this paper, we present our FAIR approach to transform COVID-19 observational patient data collected in the hospital into machine actionable digital objects to answer medical doctors' research questions. With this objective, we conducted a coordinated FAIRification among stakeholders based on ontological models for data and metadata, and a FAIR based architecture that complements the existing data management. We applied FAIR Data Points for metadata exposure, turning investigational parameters into a FAIR dataset. We demonstrated that this dataset is machine actionable by means of three different computational activities: federated query of patient data along open existing knowledge sources across the world through the Semantic Web, implementing Web APIs for data query interoperability, and building applications on top of these FAIR patient data for FAIR data analytics in the hospital.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">Our work demonstrates that a FAIR research data management plan based on ontological models for data and metadata, open Science, Semantic Web technologies, and FAIR Data Points is providing data infrastructure in the hospital for machine actionable FAIR Digital Objects. This FAIR data is prepared to be reused for federated analysis, linkable to other FAIR data such as Linked Open Data, and reusable to develop software applications on top of them for hypothesis generation and knowledge discovery.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s).</CopyrightInformation>",Interoperability; Metadata; Computer science; Analytics; Data science; Open data; Health care; Observational study; World Wide Web; Medicine; Economics; Economic growth; Pathology,FAIR; Hospital; Ontologies; Open science; Patient data; Research data management,COVID-19/epidemiology; Hospitals; Humans; Metadata; Pandemics; Semantic Web,10.1186/s13326-022-00263-7,True,en,FAIRification of data
347,081-393-517-949-816,From big data to better patient outcomes.,2022,journal article,Clinical chemistry and laboratory medicine,Walter de Gruyter GmbH,Germany,Tim Hulsen; David Friedecký; Harald Renz; Els Melis; Pieter Vermeersch; Pilar Fernandez-Calle,"Among medical specialties, laboratory medicine is the largest producer of structured data and must play a crucial role for the efficient and safe implementation of big data and artificial intelligence in healthcare. The area of personalized therapies and precision medicine has now arrived, with huge data sets not only used for experimental and research approaches, but also in the ""<i>real world</i>"". Analysis of real world data requires development of legal, procedural and technical infrastructure. The integration of all clinical data sets for any given patient is important and necessary in order to develop a patient-centered treatment approach. Data-driven research comes with its own challenges and solutions. The Findability, Accessibility, Interoperability, and Reusability (FAIR) Guiding Principles provide guidelines to make data findable, accessible, interoperable and reusable to the research community. Federated learning, standards and ontologies are useful to improve robustness of artificial intelligence algorithms working on big data and to increase trust in these algorithms. When dealing with big data, the univariate statistical approach changes to multivariate statistical methods significantly shifting the potential of big data. Combining multiple omics gives previously unsuspected information and provides understanding of scientific questions, an approach which is also called the systems biology approach. Big data and artificial intelligence also offer opportunities for laboratories and the <i>In Vitro</i> Diagnostic industry to optimize the productivity of the laboratory, the quality of laboratory results and ultimately patient outcomes, through tools such as predictive maintenance and ""moving average"" based on the aggregate of patient results.",,artificial intelligence; big data; data science; patient outcomes; personalized healthcare; precision medicine,Humans; Big Data; Artificial Intelligence; Algorithms; Delivery of Health Care; Precision Medicine/methods,10.1515/cclm-2022-1096,False,en,Overview and Adoption of FAIR Principles
369,089-669-875-130-785,The burden of Chronic Pelvic Pain (CPP): Costs and quality of life of women and men with CPP treated in outpatient referral centers.,2023,journal article,PloS one,Public Library of Science (PLoS),United States,David Hutton; Aida Mustafa; Soha Patil; Saira Rathod; Gautam Shrikhande; Arnold Advincula; Jessica Drummond; Peter Gregersen; Jason Hall; Christine Metz; Alexandra Milspaw; Iris Kerin Orbuch; Peter Stahl; Amy Stein; Allyson Shrikhande,"<AbstractText Label=""INTRODUCTION"">Chronic Pelvic Pain (CPP) is a complex, multifaceted condition that affects both women and men. There is limited literature on the cost utilization the healthcare system and CPP patients incur. The purpose of this analysis is to characterize the overall healthcare utilization, cost burden, and quality-of-life restrictions experienced by CPP patients using data from an outpatient pelvic rehabilitation practice.</AbstractText>;           <AbstractText Label=""METHODS"">Healthcare utilization data was gathered by systematically reviewing and analyzing data from new patient visit progress notes stored in the clinic's electronic health records (EHR). We obtained in-network costs by using the FAIR Health Consumer online database. Overall costs were then calculated as the utilization times the per-unit costs from the FAIR database. Additionally, data on patients' visual analogue scale (VAS), absenteeism, presenteeism emergency room visits, usage of common pain medications, use of diagnostics, and participation in common treatment modalities was gathered.</AbstractText>;           <AbstractText Label=""RESULTS"">Data from 607 patients was used. The overall cost burden per patient for all surgeries combined was $15,750 for in-network services. The cost burden for diagnostics was $5,264.22 and treatments was $8,937 per patient for in-network treatments.</AbstractText>;           <AbstractText Label=""CONCLUSION"">Chronic Pelvic Pain was found to have a large cost burden of $29,951 for in-network services which includes treatments, diagnostics, and surgeries. This analysis sets the stage for future investigations involving data on costs of medications that patients have tried prior to presenting to us and costs associated with work hours lost.</AbstractText>;           <CopyrightInformation>Copyright: © 2023 Hutton et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.</CopyrightInformation>",Medicine; Referral; Health care; Presenteeism; Quality of life (healthcare); Absenteeism; Indirect costs; Cost driver; Medical emergency; Emergency medicine; Physical therapy; Family medicine; Nursing; Business; Management; Accounting; Marketing; Economics; Economic growth,,Male; Humans; Female; Quality of Life; Outpatients; Patient Acceptance of Health Care; Pain Measurement; Pelvic Pain/therapy; Chronic Pain/therapy,10.1371/journal.pone.0269828,True,en,Overview and Adoption of FAIR Principles
415,108-523-909-056-946,Applying FAIR Principles to Improve Data Searchability of Emergency Department Datasets: A Case Study for HCUP-SEDD,2020,journal article,Methods of information in medicine,Georg Thieme Verlag KG,Germany,Karishma Bhatia; James Tanch; Elizabeth S. Chen; Indra Neil Sarkar,"Background There is a recognized need to improve how scholarly data are managed and accessed. The scientific community has proposed the findable, accessible, interoperable, and reusable (FAIR) data principles to address this issue. Objective The objective of this case study was to develop a system for improving the FAIRness of Healthcare Cost and Utilization Project's State Emergency Department Databases (HCUP's SEDD) within the context of data catalog availability. Methods A search tool, EDCat (Emergency Department Catalog), was designed to improve the “FAIRness” of electronic health databases and tested on datasets from HCUP-SEDD. ElasticSearch was used as a database for EDCat's search engine. Datasets were curated and defined. Searchable data dictionary-related elements and unified medical language system (UMLS) concepts were included in the curated metadata. Functionality to standardize search terms using UMLS concepts was added to the user interface. Results The EDCat system improved the overall FAIRness of HCUP-SEDD by improving the findability of individual datasets and increasing the efficacy of searches for specific data elements and data types. Discussion The databases considered for this case study were limited in number as few data distributors make the data dictionaries of datasets available. The publication of data dictionaries should be encouraged through the FAIR principles, and further efforts should be made to improve the specificity and measurability of the FAIR principles. Conclusion In this case study, the distribution of datasets from HCUP-SEDD was made more FAIR through the development of a search tool, EDCat. EDCat will be evaluated and developed further to include datasets from other sources.",Data type; Findability; Interoperability; Information retrieval; Context (language use); Computer science; Unified Medical Language System; User interface; Metadata; Data dictionary,,"Databases, Factual; Emergency Service, Hospital; Health Information Interoperability; Health Services Accessibility; Information Storage and Retrieval; Metadata",10.1055/s-0040-1712510,False,en,Overview and Adoption of FAIR Principles
420,110-383-161-631-495,Preparing healthcare delivery organizations for managing computable knowledge.,2018,journal article,Learning health systems,Wiley,United States,Julia Adler-Milstein; Paige Nong; Charles P. Friedman,"Introduction The growth of data science has led to an explosion in new knowledge alongside various approaches to representing and sharing biomedical knowledge in computable form. These changes have not been matched by an understanding of what healthcare delivery organizations need to do to adapt and continuously deploy computable knowledge. It is therefore important to begin to conceptualize such changes in order to facilitate routine and systematic application of knowledge that improves the health of individuals and populations. Methods An AHRQ-funded conference convened a group of experts from a range of fields to analyze the current state of knowledge management in healthcare delivery organizations and describe how it needs to evolve to enable computable knowledge management. Presentations and discussions were recorded and analyzed by the author team to identify foundational concepts and new domains of healthcare delivery organization knowledge management capabilities. Results Three foundational concepts include 1) the current state of knowledge management in healthcare delivery organizations relies on an outdated biomedical library model, and only a small number of organizations have developed enterprise-scale knowledge management approaches that ""push"" knowledge in computable form to frontline decisions, 2) the concept of Learning Health Systems creates an imperative for scalable computable knowledge management approaches, and 3) the ability to represent data science discoveries in computable form that is FAIR (findable, accessible, interoperable, reusable) is fundamental to spread knowledge at scale. For healthcare delivery organizations to engage with computable knowledge management at scale, they will need new organizational capabilities across three domains: policies and processes, technology, and people. Examples of specific capabilities were developed. Conclusions Healthcare delivery organizations need to substantially scale up and retool their knowledge management approaches in order to benefit from computable biomedical knowledge.",Order (exchange); Interoperability; Scale (chemistry); Library model; Biomedical knowledge; Healthcare delivery; Computer science; Scalability; Concept learning; Knowledge management,healthcare delivery; knowledge management; organizational competencies,,10.1002/lrh2.10070,True,en,Overview and Adoption of FAIR Principles
434,117-836-362-655-518,Fast Healthcare Interoperability Resources (FHIR) in a FAIR Metadata Registry for COVID-19 Research.,2021,journal article,Studies in health technology and informatics,IOS Press,Netherlands,Sophie Anne Ines Klofenstein; Carina Nina Vorisek; Aliaksandra Shutsko; Moritz Lehne; Julian Sass; Matthias Löbe; Carsten Oliver Schmidt; Sylvia Thun,"Adopting international standards within health research communities can elevate data FAIRness and widen analysis possibilities. The purpose of this study was to evaluate the mapping feasibility against HL7® Fast Healthcare Interoperability Resources® (FHIR)® of a generic metadata schema (MDS) created for a central search hub gathering COVID-19 health research (studies, questionnaires, documents = MDS resource types). Mapping results were rated by calculating the percentage of FHIR coverage. Among 86 items to map, total mapping coverage was 94%: 50 (58%) of the items were available as standard resources in FHIR and 31 (36%) could be mapped using extensions. Five items (6%) could not be mapped to FHIR. Analyzing each MDS resource type, there was a total mapping coverage of 93% for studies and 95% for questionnaires and documents, with 61% of the MDS items available as standard resources in FHIR for studies, 57% for questionnaires and 52% for documents. Extensions in studies, questionnaires and documents were used in 32%, 38% and 43% of items, respectively. This work shows that FHIR can be used as a standardized format in registries for clinical, epidemiological and public health research. However, further adjustments to the initial MDS are recommended - and two additional items even needed when implementing FHIR. Developing a MDS based on the FHIR standard could be a future approach to reduce data ambiguity and foster interoperability.",Health care; Interoperability; Information retrieval; Metadata registry; Metadata schema; 2019-20 coronavirus outbreak; Coronavirus disease 2019 (COVID-19); Computer science; Resource (project management); Metadata; Data science; World Wide Web; Economics; Economic growth,COVID-19; FAIR data; Fast Healthcare Interoperability Resources; HL7 FHIR; Infrastructure; Metadata Standards; Syntactic Interoperability,COVID-19; Delivery of Health Care; Electronic Health Records; Health Level Seven; Humans; Metadata; Registries; SARS-CoV-2,10.3233/shti210817,True,en,Overview and Adoption of FAIR Principles
437,118-391-836-896-24X,The COVID - Curated and Open aNalysis aNd rEsearCh plaTform (CO-CONNECT).,2022,journal article,International Journal of Population Data Science,Swansea University,,Emily Jefferson; Aziz Sheik; Susan Hopkins; Philip Quinlan,"<jats:p>ObjectivesCO-CONNECT is making UK COVID-19 data Findable, Accessible, Interoperable and Reusable (FAIR) through a federated platform, which supports secure, anonymised research at scale and pace. This interdisciplinary project, spanning 22 organisations, is connecting data from &gt;50 large research cohorts and data collected through routine healthcare provision across the UK.; ApproachAcross the UK, data has been collected that can help us answer key questions about COVID-19. As the data are in many places with many different processes it is difficult and complex for public health groups, researchers, policymakers, and government to find and access lots of high-quality data quickly and efficiently to make decisions. In collaboration with Health Data Research UK, CO-CONNECT is streamlining processes of accessing data for research.; Results1) Discovering data and meta-analysis: CO-CONNECT enables researchers to determine how many people meet their research criteria within the various datasets across the UK through the Health Data Research Innovation Gateway Cohort Discovery tool e.g. “How many people in each dataset have had a PCR test which was positive and were under the age of 40?” Only summary level, anonymous data are provided so researchers can answer such questions rapidly without requiring multiple data governance permissions and directly contacting each data source. The tool also supports aggregate level meta-analysis of the data.; 2) Detailed analysis: With data governance approvals, researchers can analyse detailed level, standardised, linked, pseudonymised data in a Trusted Research Environment. The common format reduces the effort on each research project, supporting rapid research.; ConclusionProviding data in this de-identifiable, safe way enables rapid, robust research e.g., COVID-19 results from a test centre can be linked to hospital records along with prescriptions from pharmacies enabling researchers to understand whether people with different existing health conditions are more or less susceptible to COVID-19. If you want to know more visit https://co-connect.ac.uk.</jats:p>",Data governance; Interoperability; Data science; Government (linguistics); Computer science; Data quality; Data sharing; Gateway (web page); Open data; World Wide Web; Knowledge management; Business; Medicine; Metric (unit); Linguistics; Philosophy; Alternative medicine; Pathology; Marketing,,,10.23889/ijpds.v7i3.1792,True,en,Overview and Adoption of FAIR Principles
456,129-155-513-569-134,"Connecting data, tools and people across Europe: ELIXIR's response to the COVID-19 pandemic.",2020,journal article,European journal of human genetics : EJHG,Springer Science and Business Media LLC,United Kingdom,Niklas Blomberg; Katharina B Lauer,"ELIXIR, the European research infrastructure for life science data, provides open access to data, tools and workflows in the response to the COVID-19 pandemic. ELIXIR’s 23 nodes have reacted swiftly to support researchers in their combined efforts against the pandemic setting out three joint priorities: 1. Connecting national COVID-19 data platforms to create federated European COVID-19 Data Spaces; 2. Fostering good data management to make COVID-19 data open, FAIR and reusable over the long term; 3. Providing open tools, workflows and computational resources to drive reproducible and collaborative science. ELIXIR’s strategy is based on the support given by our national nodes - collectively spanning over 200 institutes - to research projects and on partnering with community initiatives to drive development and adoption of good data practice and community driven standards. ELIXIR Nodes provide support activities locally and internationally, from provisioning compute capabilities to helping collect viral sequence data from hospitals. Some Nodes have prioritised access to their national cloud and compute facilities for all COVID-19 research projects, while others have developed tools to search, access and share all data related to the pandemic in a national healthcare setting.",Elixir (programming language); Business; Health care; Data management; Provisioning; Workflow; Datasets as Topic; Data access; Knowledge management; Cloud computing,,"Betacoronavirus/genetics; Biomedical Research/organization & administration; COVID-19; Coronavirus Infections/epidemiology; Datasets as Topic; Europe/epidemiology; Humans; Information Dissemination/ethics; International Cooperation/legislation & jurisprudence; Pandemics; Pneumonia, Viral/epidemiology; Public Health/economics; SARS-CoV-2; Workflow",10.1038/s41431-020-0637-5,True,en,Infrastructure and Tools
457,129-707-096-074-642,The NHGRI-EBI GWAS Catalog: knowledgebase and deposition resource.,2022,journal article,Nucleic acids research,Oxford University Press (OUP),United Kingdom,Elliot Sollis; Abayomi Mosaku; Ala Abid; Annalisa Buniello; Maria Cerezo; Laurent Gil; Tudor Groza; Osman Güneş; Peggy Hall; James Hayhurst; Arwa Ibrahim; Yue Ji; Sajo John; Elizabeth Lewis; Jacqueline A L MacArthur; Aoife McMahon; David Osumi-Sutherland; Kalliope Panoutsopoulou; Zoë Pendlington; Santhi Ramachandran; Ray Stefancsik; Jonathan Stewart; Patricia Whetzel; Robert Wilson; Lucia Hindorff; Fiona Cunningham; Samuel A Lambert; Michael Inouye; Helen Parkinson; Laura W Harris,"The NHGRI-EBI GWAS Catalog (www.ebi.ac.uk/gwas) is a FAIR knowledgebase providing detailed, structured, standardised and interoperable genome-wide association study (GWAS) data to >200 000 users per year from academic research, healthcare and industry. The Catalog contains variant-trait associations and supporting metadata for >45 000 published GWAS across >5000 human traits, and >40 000 full P-value summary statistics datasets. Content is curated from publications or acquired via author submission of prepublication summary statistics through a new submission portal and validation tool. GWAS data volume has vastly increased in recent years. We have updated our software to meet this scaling challenge and to enable rapid release of submitted summary statistics. The scope of the repository has expanded to include additional data types of high interest to the community, including sequencing-based GWAS, gene-based analyses and copy number variation analyses. Community outreach has increased the number of shared datasets from under-represented traits, e.g. cancer, and we continue to contribute to awareness of the lack of population diversity in GWAS. Interoperability of the Catalog has been enhanced through links to other resources including the Polygenic Score Catalog and the International Mouse Phenotyping Consortium, refinements to GWAS trait annotation, and the development of a standard format for GWAS data.",Genome-wide association study; Interoperability; Metadata; Population; Biology; Data science; Computer science; Computational biology; World Wide Web; Genetics; Medicine; Single-nucleotide polymorphism; Environmental health; Gene; Genotype,,"Animals; Humans; Mice; DNA Copy Number Variations; Genome-Wide Association Study; National Human Genome Research Institute (U.S.); Phenotype; Polymorphism, Single Nucleotide; Software; United States; Knowledge Bases",10.1093/nar/gkac1010,True,en,Infrastructure and Tools
483,144-495-742-964-546,FAIRifying a Quality Registry Using OMOP CDM: Challenges and Solutions.,2022,journal article,Studies in health technology and informatics,IOS Press,Netherlands,Daniel Puttmann; Nicolette De Keizer; Ronald Cornet; Eric Van Der Zwan; Ferishta Bakhshi-Raiez,"The need for health data to be internationally Findable, Accessible, Interoperable and Reusable (FAIR) and thereby support integrative analysis with other datasets has become crystal clear in the ongoing pandemic. The Dutch National Intensive Care Evaluation (NICE) quality registry adopted the Observational Medical Outcomes Partnership Common Database Model (OMOP CDM) to achieve a FAIR database. In the process of adopting the OMOP CDM, many modeling, technical, and communication challenges needed to be solved. Through communication with the OMOP CDM implementation community, previously done research and trial-and-error we found solutions that we believe can help other healthcare institutions, especially ICU quality registries, FAIRify their databases.",Interoperability; Observational study; Quality (philosophy); General partnership; Computer science; Process (computing); Knowledge management; Process management; Data science; Business; World Wide Web; Medicine; Philosophy; Epistemology; Pathology; Finance; Operating system,ETL Process; OHDSI; OMOP CDM; Quality Registry,"Databases, Factual; Delivery of Health Care; Electronic Health Records; Pandemics; Registries",10.3233/shti220476,True,en,Overview and Adoption of FAIR Principles
