Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,DOI,Is Open Access
015-603-331-802-647,"Knowledge, Attitude of Mothers towards Infant Oral Healthcare in Baghdad City/ Al-Karkh",2022,journal article,Medico-legal Update,Institute of Medico-legal Publications Private Limited,India,,"Background: Oral health is a key pointer of overall health, and quality of life, most oral health problems arepreventable. Mothers, significantly impact their infant’s oral health and play a vital role in prevention of dentalcaries among their children.Aim of the Study: To evaluate knowledge, attitude of mothers towards infant oral healthcare in Baghdad city /Al-Karkh.Patients and Methods: A cross-sectional study was conducted among convenient sample of 300 mothers with achild aged less than one year who were attending the primary healthcare centers in Baghdad city/ Al-Karkh. Datawere collected using a self-administered questionnaire composed of questions regarding knowledge, attitudeof mothers toward infant oral healthcare. The data analyzed using Statistical Package for Social Sciences (SPSS)version 25.Results: In this study, 88 (29.3%) of participant mothers had good knowledge, which was significantly higheramong the participant mothers aged ≥ 35 years (42.9%), live in urban areas (40.6%), highly educated (54.1%),employed (45.5%), had ≥ 3 children (41.3%), and mothers whose child aged ≥ 6 months (34.2%).166 (55.3%)ofmothers had good attitudes, which was significantly higher among the participant mothers aged between (30 – 34)years (83.3%), live in the urban areas (69.8), highly educated (91.8%), employed (81.8%,), had ≥3 children (65.1%),and mothers who had child aged ≥6 months (64.9%).Conclusions: Mothers had fair knowledge, good attitude toward infant oral healthcare. Pediatric dentists andany health care professionals like pediatricians and family physicians who care for infant need to be trained todisseminate appropriate infant oral health care information and in the prevention of early childhood caries.",Medicine; Family medicine; Health care; Health professionals; Oral health; Cross-sectional study; Pediatrics; Pathology; Economics; Economic growth,,,10.37506/mlu.v22i4.3331,true
015-803-099-681-17X,"""It really puts me in a bind"", professionalism dilemmas reported by Chinese residents.",2023,journal article,Advances in health sciences education : theory and practice,Springer Netherlands,Netherlands,Xinzhi Song; Nan Jiang; Ning Ding; Honghe Li; Chunyu Xin; Ruoyi Qu; Deliang Wen,"Residents play a pivotal role in the healthcare system. However, few tools have systematically revealed the dilemmas and challenges faced by residents. This study aimed to develop a checklist for professionalism dilemmas based on a behavior-based professionalism framework and to examine the range and proportion of professionalism dilemmas heard of, witnessed, or experienced by Chinese residents. Mixed methods were used, comprising qualitative (document analysis and focus group interviews) and quantitative (a small-scale questionnaire survey) data. Document analysis summarized professionalism dilemma items from previous publications. For focus group interviews, we used narrative inquiry to explore and make sense of residents' experiences and perceptions of professionalism dilemmas. A small-scale questionnaire survey was conducted during each focus group to investigate the proportion of professionalism dilemma items that residents reported to have heard of, witnessed, or experienced. Through document analysis and focus group interviews, we developed a checklist of professionalism dilemmas based on a behavior-based professionalism framework. The checklist included 58 items over four domains, with 10 sub-domains (compassion, respect, communication, collaboration, integrity, duty, pursuit of excellence, fair stewardship of health care resources, patient confidentiality, and informed consent). We also sought a preliminarily subjective impression by exploring the proportion of residents who have heard of, witnessed, and experienced each of the professionalism dilemma items and residents' perspectives when faced with professionalism dilemmas. Residents inevitably encounter or experience a diverse range of professionalism dilemmas. This checklist of professionalism dilemmas that was developed could prove to be a significant reference for targeted professionalism education, both for the resident as well as for faculty. It can also act as a helpful tool for improving hospital management guidelines and patient education.",Focus group; Checklist; Dilemma; Ethical dilemma; Qualitative research; Medical education; Compassion; Psychology; Scale (ratio); Medicine; Nursing; Sociology; Political science; Social science; Philosophy; Physics; Epistemology; Quantum mechanics; Anthropology; Law; Cognitive psychology,Document analysis; Narrative inquiry; Professionalism; Professionalism dilemma; Resident,,10.1007/s10459-022-10198-4,false
016-228-013-615-074,Instruments for measuring meaningful learning in healthcare students: a systematic psychometric review.,2016,journal article,Journal of advanced nursing,Wiley,United Kingdom,Lucia Cadorin; Annamaria Bagnasco; Angela Tolotti; Nicola Pagnucci; Loredana Sasso,"Aim; ; To identify, evaluate and describe the psychometric properties of instruments that measure learning outcomes in healthcare students.; ; ; ; Background; ; Meaningful learning is an active process that enables a wider and deeper understanding of concepts. It is the result of an interaction between new and prior knowledge and produces a long-standing change in knowledge and skills. In the field of education, validated and reliable instruments for assessing meaningful learning are needed.; ; ; ; Design; ; A psychometric systematic review.; ; ; ; Data sources; ; MEDLINE CINAHL, SCOPUS, ERIC, Cochrane Library, Psychology & Behavioural Sciences Collection Database from 1990–December 2013.; ; ; ; Review method; ; Using pre-determined inclusion criteria, three reviewers independently identified studies for full-text review. Then they extracted data for quality appraisal and graded instrument validity using the Consensus-based Standards for the selection of the health status Measurement INstruments checklist and the Psychometric Grading Framework.; ; ; ; Results; ; Of the 57 studies identified for full-text review, 16 met the inclusion criteria and 13 different instruments were assessed. Following quality assessment, only one instrument was considered of good quality but it measured meaningful learning only in part; the others were either fair or poor. The Psychometric Grading Framework indicated that one instrument was weak, while the others were very weak. No instrument displayed adequate validity.; ; ; ; Conclusions; ; The systematic review produced a synthesis of the psychometric properties of tools that measure learning outcomes in students of healthcare disciplines. Measuring learning outcomes is very important when educating health professionals. The identified tools may constitute a starting point for the development of other assessment tools.",Grading (education); Health care; Psychometrics; Pedagogy; Cochrane Library; Meaningful learning; MEDLINE; CINAHL; Medical education; Behavioural sciences; Medicine,assessment; deep learning; health education; instruments; learning outcome; meaningful learning; nursing; nursing education; significant learning; systematic psychometric review,Health Personnel/education; Humans; Learning; Psychometrics; Students,10.1111/jan.12926,false
016-552-371-669-616,"Barriers to Healthcare among African Immigrants in Georgia, USA.",2017,journal article,Journal of immigrant and minority health,Springer Science and Business Media LLC,Germany,Oluwatoyosi A. Adekeye; Bola F. Adesuyi; Joseph G. Takon,"African-born immigrants are among the fastest growing immigrant groups in the US, yet they are underrepresented in healthcare research, particularly, cancer research and tend to be categorized as African American or Black, obscuring any cultural nuances that exist. A survey designed to provide insight on the barriers to healthcare, knowledge of common cancers, and cancer risks was utilized during a health fair. Data analyses included descriptive statistics to examine participant demographics and other study variables of interest. Most of the participants reported African origin (approximately 97%), were males (59%), were aged 18-40 years (49%), had a minimum of some college education (78%), a household income of >$50,000 (35%) and were mostly uninsured (45%). The cost of medical treatment 19 (45.2%) was reported as a major barrier to healthcare access. The Health Fair presented the opportunity to provide free health screenings, education/awareness, and referral to follow-up resources. The findings are evidence of the importance and impact of health fairs in communities of greatest need.",Public health; Demography; Health care; Referral; Cancer screening; Household income; Health fairs; Descriptive statistics; Family medicine; Immigration; Medicine,African Immigrant; Cancer Screening; Health Fair; Health screening,Adult; Black People; Cross-Sectional Studies; Early Detection of Cancer; Emigrants and Immigrants; Female; Georgia; Health Fairs; Health Services Accessibility; Health Surveys; Humans; Male; Middle Aged; Young Adult,10.1007/s10903-017-0549-9,false
016-710-016-381-66X,COVID-19 Vaccination: An Exploratory Study of the Motivations and Concerns Detailed in the Medical Records of a Regional Australian Population.,2022,journal article,Vaccines,MDPI AG,Switzerland,Elizabeth M Hamilton; Shannen Oversby; Angela Ratsch; Scott Kitchener,"Understanding motivations and concerns surrounding COVID-19 vaccine uptake is important to reduce vaccine hesitancy and inform strategies to mitigate concerns and increase vaccine uptake. This study aimed to explore motivations and concerns associated with COVID-19 vaccination among adults seeking their first COVID-19 vaccine in a regional Australian community with low prevalence of COVID-19, who received a medical consult prior to vaccination. Medical records from consults were audited and the modified Framework Method was used to conduct qualitative content analysis of data, generating themes and overall core concepts related to motivations for COVID-19 vaccination and associated concerns. There were 102 people included in the study, 81% of whom were aged ≥60 years. Concerns surrounding COVID-19 vaccination included five core concepts: 1. Perceived vaccine risks, 2. Perceived vaccine performance, 3. Uncertainty, 4. Autonomy, and 5. Fairness in access; and a further five core concepts were generated from motivations to seek vaccination: 1. Protection, 2. Occupational or facility responsibility or requirement, 3. Trust in primary healthcare physician, 4. Autonomy, and 5. Civic duty. These motivating factors and concerns can be used to inform strategies and education to increase vaccine uptake in ongoing and future vaccine rollouts.",Vaccination; Autonomy; Medicine; Family medicine; Population; Qualitative research; Audit; Psychology; Public relations; Business; Environmental health; Political science; Immunology; Sociology; Accounting; Social science; Law,COVID-19; motivation; regional health; vaccination; vaccine hesitancy; vaccine risks; vaccine safety,,10.3390/vaccines10050657,true
017-269-001-781-232,Short and long-term inequity in outpatient medical use by the type of medical institutions in Korea,2022,journal article,European Journal of Public Health,Oxford University Press (OUP),United Kingdom,JY Yang; JH Lee,"<jats:title>Abstract</jats:title>;                <jats:sec>;                   <jats:title>Background</jats:title>;                   <jats:p>Many countries agree with the horizontal equity that medical resources should be allocated according to medical needs, regardless of income. Although the short-term equity index calculated through cross-sectional data doesn't reflect the dynamics of individual income and medical use, it can be supplemented by the long-term equity index using panel data. Koreans tend to choose expensive but highly specialized services without considering their medical needs because they are free to choose service providers. This study aims to empirically examine how the patterns of outpatient medical use that are not based on medical needs differ in terms of short- and long-term equity for each type of medical institution.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Methods</jats:title>;                   <jats:p>Using Korea Health Panel Survey(2014-2018), the equity of outpatient medical use(number of visits, medical expenses) of 10,244 people was measured by type of medical institution (tertiary general hospital, general hospital, hospital, clinic, and dentist). Wagstaff&amp;van Doorslaer(2000)’s tool and Jones &amp; Lopez-Nicolas(2004)’s tool were used to calculate the short and long-term horizontal equity index(HI), and mobility index(MI) to compare short and long-term inequity.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Results</jats:title>;                   <jats:p>In tertiary general hospitals and dentists, there were short and long-term pro-rich inequalities(HI &amp;gt; 0, p &amp;lt; 0.05). As a result of comparison, long-term inequality was greater in the number of visits (MI &amp;lt; 0), while inequality was easing in the long-term in medical expenses(MI &amp;gt; 0) in tertiary general hospitals. In dentists, long-term inequality was less than short-term inequality in both the number of visits and medical expenses (MI &amp;gt; 0).</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Conclusions</jats:title>;                   <jats:p>The short-term equity index is likely to underestimate or overestimate inequity in our society, so a long-term perspective is needed. Inequality patterns for each type of medical institution should be considered in healthcare reforms for fair distribution of medical resources.</jats:p>;                </jats:sec>;                <jats:sec>;                   <jats:title>Key messages</jats:title>;                   <jats:p>• Short-term equity index differs from the long-term equity index in outpatient medical use.</jats:p>;                   <jats:p>• The pattern of short and long-term equity indices may differ by type of medical institutions.</jats:p>;                </jats:sec>",Equity (law); Medicine; Inequality; Medical expenses; Index (typography); Actuarial science; Family medicine; Business; Medical emergency; Political science; Mathematical analysis; Mathematics; World Wide Web; Computer science; Law,,,10.1093/eurpub/ckac131.109,true
017-338-148-609-484,Dutch reference values for the Patient-Reported Outcomes Measurement Information System Scale v1.2 - Global Health (PROMIS-GH),2021,journal article,Journal of patient-reported outcomes,Springer Science and Business Media LLC,Germany,Ellen B. M. Elsman; Leo D. Roorda; Martine H. P. Crins; Maarten Boers; Caroline B. Terwee,"To add context to the impact of medical conditions, it is important to interpret and compare health outcomes across studies and populations. We aimed to determine Dutch reference values for the Patient-Reported Outcomes Measurement Information System Scale v1.2 - Global Health (PROMIS-GH). The PROMIS-GH, also referred to as PROMIS-10, was completed by 4370 Dutch persons, representative for the 2016 Dutch population. T-scores for the mental health (GMH) and physical health (GPH) subscales, and their shorter two-item subscales, were calculated for the entire population, age groups and gender. T-scores for GMH and GPH were compared to the US reference population, representative for the 2000 US general population. Interpretability thresholds for poor, fair, good, very good and excellent GPH and GMH were calculated based on T-scores of participants, which were categorized into five groups based on their response to item Global01. For each group the mean GPH and GMH T-score was calculated and the midpoint between two adjacent means was identified, resulting in thresholds. Thresholds based on the Dutch data were compared to US thresholds. The Dutch population had a GMH T-score of 44.7 and a GPH T-score of 45.2, both substantially worse than the US reference population T-score of 50. Lower T-scores were also found for age-range and gender subpopulations. Dutch GMH and GPH interpretability thresholds were mostly not substantially different compared to the US thresholds, although the Dutch threshold between fair and poor mental health was considerably higher (29 vs. 38). This study reports reference values for the PROMIS-GH scale for the Dutch general population, including age-range and gender subpopulations. These reference values provide an important tool for healthcare professionals and researchers to better evaluate and interpret patient-reported mental health and physical health. Scores are notably worse than the US reference values. The exact reason for this remains subject for further research, although possibilities for the differences are discussed, including the presence of differential item functioning and the representativeness and recentness of the data.",Mental health; Demography; Psychology; Differential item functioning; Patient-Reported Outcomes Measurement Information System; Context (language use); Population; Representativeness heuristic; Global health; Scale (social sciences),General population reference values; Global Health; PROMIS; Patient-reported outcome measures,,10.1186/s41687-021-00314-0,true
017-343-755-201-081,Clinical diagnostic model for sciatica developed in primary care patients with low back-related leg pain.,2018,journal article,PloS one,Public Library of Science (PLoS),United States,Siobhán Stynes; Kika Konstantinou; Reuben Ogollah; Elaine M Hay; Kate M. Dunn,"Background; ; Identification of sciatica may assist timely management but can be challenging in clinical practice. Diagnostic models to identify sciatica have mainly been developed in secondary care settings with conflicting reference standard selection. This study explores the challenges of reference standard selection and aims to ascertain which combination of clinical assessment items best identify sciatica in people seeking primary healthcare.; ; Methods; ; ; Data on 394 low back-related leg pain consulters were analysed. Potential sciatica indicators were seven clinical assessment items. Two reference standards were used: (i) high confidence sciatica clinical diagnosis; (ii) high confidence sciatica clinical diagnosis with confirmatory magnetic resonance imaging findings. Multivariable logistic regression models were produced for both reference standards. A tool predicting sciatica diagnosis in low back-related leg pain was derived. Latent class modelling explored the validity of the reference standard.; ; Results; ; Model (i) retained five items; model (ii) retained six items. Four items remained in both models: below knee pain, leg pain worse than back pain, positive neural tension tests and neurological deficit. Model (i) was well calibrated (p = 0.18), discrimination was area under the receiver operating characteristic curve (AUC) 0.95 (95% CI 0.93, 0.98). Model (ii) showed good discrimination (AUC 0.82; 0.78, 0.86) but poor calibration (p = 0.004). Bootstrapping revealed minimal overfitting in both models. Agreement between the two latent classes and clinical diagnosis groups defined by model (i) was substantial, and fair for model (ii).; ; Conclusion; ; Four clinical assessment items were common in both reference standard definitions of sciatica. A simple scoring tool for identifying sciatica was developed. These criteria could be used clinically and in research to improve accuracy of identification of this subgroup of back pain patients.",Logistic regression; Physical therapy; Young adult; Overfitting; Back pain; Sciatica; Knee pain; MEDLINE; Receiver operating characteristic; Medicine,,"Adolescent; Adult; Aged; Back; Female; Humans; Leg; Male; Middle Aged; Models, Statistical; Pain Measurement; Primary Health Care; Sciatica/diagnosis; Young Adult",10.1371/journal.pone.0191852,true
017-501-733-721-212,The implementation process of the Workload Indicators Staffing Need (WISN) method by WHO in determining midwifery staff requirements in Greek Hospitals.,2019,journal article,European journal of midwifery,E.U. European Publishing,Greece,Fotini Gialama; Maria Saridi; Panagiotis Prezerakos; Yiannis Pollalis; Xenofon Contiades; Kyriakos Souliotis,"Introduction One of the greatest challenges in the healthcare field is planning the health workforce under limited financial resources while being fully capable of responding to an affordable, fair and efficient healthcare system. This study aimed to demonstrate the implementation process of the health workforce planning tool 'Workload Indicators of Staffing Needs' introduced by the World Health Organization. Methods A descriptive and cross-sectional study was carried out at four (two public and two private) hospitals in Greece, to estimate midwifery staff requirements at ward level during 2015-2016, using the WISN software tool. Focus group discussions, structured interviews and annual service statistics from the hospitals' records were used to obtain data. Results Results for both private hospitals showed a shortage in the number of midwives. However, after combining the interpretation of the results, as indicated by the WISN methodology and the structured interviews, current and required staffing is in balance in both. On the other hand, both public hospitals indicate a surplus of midwives (1.83 and 1.33 ratios for the General hospitals in Korinthos and Kalamata, respectively). Conclusions This study demonstrated the implementation process of the WISN methodology through its application in midwifery staff at four hospitals in Greece and confirmed its usefulness in estimating staffing requirements. The application of the WISN methodology should be viewed as a vital tool in assessing overstaffing and understaffing through the estimation of workload pressure among different categories of health staff, thus providing the basis for effective health workforce redistribution in Greece.",Structured interview; Obstetrics; Business; Workforce planning; Health care; Staffing; Workforce; Workload; Service (systems architecture); Focus group,health workforce planning; hospital; midwifery; staffing; workload indicators,,10.18332/ejm/100559,true
017-536-758-065-557,"Professional Quality of Life, Engagement, and Self-Care in Healthcare Professionals in Ecuador during the COVID-19 Pandemic",2021,journal article,"Healthcare (Basel, Switzerland)",,Switzerland,María Elena Cuartero-Castañer; Paula Hidalgo-Andrade; Ana J. Cañas-Lerma,"The COVID-19 pandemic has highlighted the importance of healthcare workers and their professional quality of life. This quantitative cross-sectional study aims at exploring the professional quality of life, work engagement, and self-care of healthcare workers during the COVID-19 pandemic in Ecuador. A convenience sample of 117 participants completed an online voluntary and anonymous survey between April and July 2020. It contained a sociodemographic section, the Professional Quality of Life questionnaire V, the work engagement scale, and the scale of self-care behaviors for clinical psychologists. Results show that healthcare workers have an average quality of life with high levels of compassion satisfaction and average levels of compassion fatigue and burnout. Data also indicate that the sample frequently engaged in self-care practices and had high levels of work engagement. The regression analyses reveal that gender, the number of patients per week, the perceived fairness of the salary, among other variables are possible predictors of professional quality of life, frequency of self-care practices, and engagement. This study contributes to the understanding of these variables among healthcare professionals in Ecuador. These results should be considered when planning policies and prevention intervention efforts to promote professionals' wellbeing.",Compassion fatigue; Burnout; Psychology; Nursing; Health care; Compassion; Quality of life (healthcare); Salary; Work engagement; Scale (social sciences),COVID; Ecuador; engagement; healthcare professionals; professional quality of life; self-care,,10.3390/healthcare9050515,true
017-565-470-267-216,How effectively has a Just Culture been adopted? A qualitative study to analyse the attitudes and behaviours of clinicians and managers to clinical incident management within an NHS Hospital Trust and identify enablers and barriers to achieving a Just Culture.,2023,journal article,BMJ open quality,BMJ,England,Adam Tasker; Julia Jones; Simon Brake,"<AbstractText Label=""OBJECTIVES"">Just Culture aims to improve patient safety by examining the organisational and individual factors that contribute to adverse events, enabling corrective action so that errors are not repeated. This qualitative study aims to: (1) analyse whether the attitudes and behaviours of clinicians and managers are aligned with a Just Culture; (2) identify barriers and enablers to an organisation adopting a Just Culture.</AbstractText>;           <AbstractText Label=""METHODOLOGY"">This qualitative study used interviews and observation of Trust meetings to elicit the attitudes and behaviours of staff. Semistructured interviews were conducted with 13 doctors of all grades, 5 medical students and 2 managers. Five meetings that reviewed clinical incidents and mortality were observed. This was done in a single Hospital Trust in the Midlands, England. Data were thematically analysed using directed and inductive approaches.</AbstractText>;           <AbstractText Label=""RESULTS"">There is evidence of a fair incident management process within the Trust; however, there was no agreed vision of a Just Culture and the majority of the staff were unfamiliar with the term. Negative perspectives relating to clinical incidents and their management persist among staff with many having insecurities regarding being the subject of an investigation and doubts about whether they drive improvement.</AbstractText>;           <AbstractText Label=""CONCLUSION"">This paper examines the significance of these findings and provides recommendations which may have application within other healthcare organisations. Major recommendations include (1) Just Culture: define an agreed vision of what Just Culture means to the Trust; (2) investigations: introduce incident management familiarisation training; (3) Learning Culture: increase face-to-face communication of outcomes of investigations and incident review; (4) investigators: establish an incident investigation team to improve the timeliness and consistency of investigations and the communication and implementation of outcomes.</AbstractText>;           <CopyrightInformation>© Author(s) (or their employer(s)) 2023. Re-use permitted under CC BY. Published by BMJ.</CopyrightInformation>",Safety culture; Qualitative research; Organizational culture; Patient safety; Action (physics); Psychology; Health care; Nursing; Medical education; Qualitative property; Public relations; Medicine; Sociology; Management; Political science; Social science; Physics; Quantum mechanics; Law; Economics; Machine learning; Computer science,health policy; human error; human factors; patient safety; safety culture,Humans; England; Hospitals; Safety Management; State Medicine,10.1136/bmjoq-2022-002049,true
017-864-269-074-869,“Following orders” as a critique on healthcare allocation committees: An anthropological perspective on the role of public memory in bioethical legitimacy,2021,journal article,Bioethics,Wiley,United Kingdom,Yael Assor,"The public perception of decision-making procedures as fair processes is a central means for establishing their legitimacy to make difficult resource allocation decisions. According to the ethical framework of accountability for reasonableness (A4R, hereafter), which specifies conditions for fair healthcare resource allocation, disagreements about what constitutes relevant considerations are a central threat to its perceived fairness. This article considers how an ethical principle grounded in the public memory of past traumatic events may become the topic of such disagreements. I demonstrate this through an anthropological case study of a recent public de bate concerning an Israeli healthcare allocation committee (HAC, thereafter), which determines state subsidies for new medical technologies as part of Israel's public healthcare system. Drawing upon ethnographic fieldwork about the HAC, I show how the public memory of Adolf Eichmann's trial constitutes a bioethical problem for the committee's legitimacy. Based on Arendt's and Bauman's writings that Nazi bureaucrats' manner of ""following orders"" was an ethical transgression, some patients contended that the committee has a historical responsibility to question its strict adherence to bureaucratic procedures. Since the committee did not have a direct link to the events of the Holocaust, other considerations seemed to them more relevant. I then present an offer that can settle this disagreement and maintain the HAC's legitimacy according to A4R. I conclude by discussing the contribution of empirical data to models of bioethical legitimacy.",Health care; Political science; Bioethics; Law and economics; Accountability; State (polity); Resource allocation; Legitimacy; Bureaucracy; Subsidy,Israel; accountability for reasonableness; healthcare allocation; legitimacy; post-Holocaust ethics; public memory,Health Priorities; Humans; Resource Allocation; Social Responsibility,10.1111/bioe.12890,false
017-902-781-044-989,"The Barriers, Challenges, and Strategies of COVID-19 (SARS-CoV-2) Vaccine Acceptance: A Concurrent Mixed-Method Study in Tehran City, Iran",2021,journal article,Vaccines,MDPI AG,Switzerland,Hamid Reza Khankeh; Mehrdad Farrokhi; Mohammad Saeed Khanjani; Yadollah Abolfathi Momtaz; Ameneh Setareh Forouzan; Mehdi Norouzi; Shokoufeh Ahmadi; Gholamreza Ghaedamini Harouni; Juliet Roudini; Elham Ghanaatpisheh; Arya Hamedanchi; Mohammad Pourebrahimi; Fardin Alipour; Maryam Ranjbar; Mehrdad Naghikhani; Mohammad Saatchi,"Acceptance and willingness to receive the vaccine are among the main factors in the success or failure of a health system in implementing the vaccination program. The present study was conducted in Tehran, the political and economic capital of Iran, to determine the acceptance of the COVID-19 vaccine and identify its associated factors, and explain the most important barriers and acceptance strategies for vaccination. This research was a concurrent quantitative and qualitative mixed-method study. In the quantitative part, 1200 individuals aged more than 18 years were selected from the households in 22 districts of Tehran City, with a multistage stratified cluster sampling method. Two questionnaires were used to evaluate the acceptance of the COVID-19 vaccine and vaccine acceptance determinants. The qualitative content analysis method addressed the influencing factors, as well as challenges and strategies related to the acceptance of the COVID-19 vaccine in four groups of Tehran inhabitants: the elderly, people with underlying diseases, healthcare workers, and the general population. The related data were simultaneously collected by applying in-depth semi-structural interviews and a data analysis process. Furthermore, we used the Graneheim and Lundman method for data analysis. We analyzed the data of 1200 people with a mean (SD) age of 46.4 (11.1) years, and approximately 58% of them were men. The vaccine acceptance was 83.6% (95% CI: 81.3-85.9). Among those who welcomed vaccination, 58% preferred the imported vaccines, 25% the Iranian ones, and 17% both. There was a significant association between the variables of age (adjusted odds ratio [AOR] = 1.72, 95% CI: 1.01-2.93), being single (AOR = 0.54, 95% CI: 0.41-0.91), moderate pharmacotherapy adherence (AOR = 0.58, 95% CI: 0.4-0.85), and the willingness to receive COVID-19 vaccine. Qualitative study after interviewing 45 people from four study groups showed an insufficient social trust in healthcare system officials, pharmaceutical and vaccine production companies; distrust in the effectiveness of the vaccines, concerns about the vaccine adverse effects, being tracked by microchips after vaccination, traditional anti-vaccination movements, the feeling the inessentiality of vaccination, and uncertainty about the fair distribution of the vaccine. These concerns were the main challenges addressed by the study groups. A good proportion of Tehran residents reported their willingness to receive the COVID-19 vaccine. Additionally, they expressed their critical concerns, such as insufficient trust in the healthcare system, vaccine safeties, and adverse effects that were the significant barriers to vaccine acceptance. It seems that conflicts raised by the shortage of vaccines and their import due to the sanctions have led to intense desire and demand in the general population, and especially the elderly, for vaccination. Besides, vaccination phobia in some individuals requires further investigations.",Odds ratio; Health care; Cluster sampling; Qualitative research; Adverse effect; Vaccination; Vaccine efficacy; Population; Medicine; Environmental health,challenges; coronavirus disease 2019 (COVID-19) vaccine; trust; vaccination acceptance; vaccine efficacy; vaccine hesitancy,,10.3390/vaccines9111248,true
018-013-878-593-761,"A Data Transformation Methodology to Create Findable, Accessible, Interoperable, and Reusable Health Data: Software Design, Development, and Evaluation Study.",2023,journal article,Journal of medical Internet research,JMIR Publications Inc.,Canada,A Anil Sinaci; Mert Gencturk; Huseyin Alper Teoman; Gokce Banu Laleci Erturkmen; Celia Alvarez-Romero; Alicia Martinez-Garcia; Beatriz Poblador-Plou; Jonás Carmona-Pírez; Matthias Löbe; Carlos Luis Parra-Calderon,"<AbstractText Label=""BACKGROUND"">Sharing health data is challenging because of several technical, ethical, and regulatory issues. The Findable, Accessible, Interoperable, and Reusable (FAIR) guiding principles have been conceptualized to enable data interoperability. Many studies provide implementation guidelines, assessment metrics, and software to achieve FAIR-compliant data, especially for health data sets. Health Level 7 (HL7) Fast Healthcare Interoperability Resources (FHIR) is a health data content modeling and exchange standard.</AbstractText>;           <AbstractText Label=""OBJECTIVE"">Our goal was to devise a new methodology to extract, transform, and load existing health data sets into HL7 FHIR repositories in line with FAIR principles, develop a Data Curation Tool to implement the methodology, and evaluate it on health data sets from 2 different but complementary institutions. We aimed to increase the level of compliance with FAIR principles of existing health data sets through standardization and facilitate health data sharing by eliminating the associated technical barriers.</AbstractText>;           <AbstractText Label=""METHODS"">Our approach automatically processes the capabilities of a given FHIR end point and directs the user while configuring mappings according to the rules enforced by FHIR profile definitions. Code system mappings can be configured for terminology translations through automatic use of FHIR resources. The validity of the created FHIR resources can be automatically checked, and the software does not allow invalid resources to be persisted. At each stage of our data transformation methodology, we used particular FHIR-based techniques so that the resulting data set could be evaluated as FAIR. We performed a data-centric evaluation of our methodology on health data sets from 2 different institutions.</AbstractText>;           <AbstractText Label=""RESULTS"">Through an intuitive graphical user interface, users are prompted to configure the mappings into FHIR resource types with respect to the restrictions of selected profiles. Once the mappings are developed, our approach can syntactically and semantically transform existing health data sets into HL7 FHIR without loss of data utility according to our privacy-concerned criteria. In addition to the mapped resource types, behind the scenes, we create additional FHIR resources to satisfy several FAIR criteria. According to the data maturity indicators and evaluation methods of the FAIR Data Maturity Model, we achieved the maximum level (level 5) for being Findable, Accessible, and Interoperable and level 3 for being Reusable.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">We developed and extensively evaluated our data transformation approach to unlock the value of existing health data residing in disparate data silos to make them available for sharing according to the FAIR principles. We showed that our method can successfully transform existing health data sets into HL7 FHIR without loss of data utility, and the result is FAIR in terms of the FAIR Data Maturity Model. We support institutional migration to HL7 FHIR, which not only leads to FAIR data sharing but also eases the integration with different research networks.</AbstractText>;           <CopyrightInformation>©A Anil Sinaci, Mert Gencturk, Huseyin Alper Teoman, Gokce Banu Laleci Erturkmen, Celia Alvarez-Romero, Alicia Martinez-Garcia, Beatriz Poblador-Plou, Jonás Carmona-Pírez, Matthias Löbe, Carlos Luis Parra-Calderon. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 08.03.2023.</CopyrightInformation>",,FAIR principles; Findable  Accessible  Interoperable  and Reusable principles; HL7 FHIR; Health Level 7 Fast Healthcare Interoperability Resources; health data sharing; health data transformation; secondary use,Humans; Electronic Health Records; Software Design; Software; Health Level Seven; Information Dissemination,10.2196/42822,true
